"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Gilles Reed","Stars","LD",32,0,9,9,9,14,0,0,48,17,31,38,"0",56,"15:35","0:00","2:56","0"
"Marco Kasper","Islanders","C",34,4,4,8,-7,6,0,0,43,8,2,29,"14",18,"13:49","0:02","1:28","0"
"Cody Glass","Islanders","C",34,4,4,8,-7,12,0,0,55,3,0,36,"11",62,"14:08","0:00","1:32","51"
"Chandler Stephenson","Wild","C/LW",35,4,4,8,-18,24,1,0,62,10,16,44,"9",75,"16:10","0:05","2:47","48"
"Artturi Lehkonen","Canucks","LW/RW",33,3,5,8,-7,4,0,0,47,11,0,37,"8",12,"11:34","0:00","0:00","0"
"Max Dawson","Avalanche","C",33,3,5,8,-7,10,0,0,62,6,27,47,"6",54,"13:47","0:02","1:27","51"
"Axel Sandin-Pelikka","Islanders","RD",34,2,6,8,-7,4,3,0,47,7,15,45,"4",44,"17:44","1:16","1:12","0"
"Dan Slanina","Wild","RD",35,2,6,8,-8,4,1,0,70,26,19,54,"4",75,"17:38","0:40","2:36","0"
"Liam Maxwell","Blackhawks","LD/RD",35,2,6,8,-11,12,0,0,97,31,59,73,"3",86,"24:35","0:08","1:59","0"
"Bowen Byram","Jets","LD",32,2,6,8,4,19,0,0,48,12,17,42,"5",44,"14:43","0:00","1:39","0"
"David Reinbacher","Senators","RD",33,1,7,8,-4,4,4,0,61,12,29,40,"3",65,"17:34","1:10","1:53","0"
"Stepan Draisaitl","Devils","RW/LW",33,1,7,8,-1,6,0,0,49,12,1,41,"2",9,"11:30","0:00","0:00","0"
"Oscar Klefbom","Lightning","LD",35,1,7,8,-4,6,0,0,76,11,15,74,"1",81,"23:01","0:06","2:54","0"
"Jake Neighbours","Kings","LW",35,1,7,8,-3,10,0,0,80,6,10,33,"3",42,"14:19","0:01","1:56","30"
"Brett Pesce","Rangers","RD",34,1,7,8,-3,12,1,0,61,18,39,29,"3",75,"18:40","0:02","2:35","0"
"Darnell Nurse","Panthers","LD/RD",35,1,7,8,-2,16,0,0,53,17,31,27,"4",69,"15:37","0:01","2:04","0"
